hate_category_1,hate_category_2,explanation,english,amharic,afaan_oromo,tigregna,otherspellings,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a good wife…"" on social media. Many survey responses reproduce commands and tropes that confine women to domestic spaces or “appropriate” roles. This normalises control, discipline, and even violence as acceptable behaviour. ",a good wife,???? ???,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a good wife…"" on social media. Many survey responses reproduce commands and tropes that confine women to domestic spaces or “appropriate” roles. This normalises control, discipline, and even violence as acceptable behaviour. ",a good wife keeps her husband happy,?? ?? ???? ??? ??? ??,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a good wife…"" on social media. Many survey responses reproduce commands and tropes that confine women to domestic spaces or “appropriate” roles. This normalises control, discipline, and even violence as acceptable behaviour. ",a good wife knows her place,???? ??? ???? ?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a good wife…"" on social media. Many survey responses reproduce commands and tropes that confine women to domestic spaces or “appropriate” roles. This normalises control, discipline, and even violence as acceptable behaviour. ",a good wife wouldn’t post this,?? ?? ???? ??? ??? ??,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a man deserves thanks"", one social media. This is used misogynistically to imply that a woman is a burden and that any man who marries her is doing her and society a favour. The phrase frames marriage as a one-sided transaction in which men provide value and women offer little in return, reinforcing the idea that women should be grateful and subordinate within relationships.",a man who marries her deserves thanks,??? ??? ????? ?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",A person that marries you is unlucky,???? ?????,Isa si fuudhetti rabbituvitti fuudhe,????? ?? ???? ?????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",adulterous,?????,Sagaagaltuu,??? ,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",axwound,???,Xeerii,???,axewound,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",,,Koshoo,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",,,kushee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",,,Muxxee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",,,Buqushaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",babe,??,Ishii,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,Intalattii,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,Niitittii,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,ija tuffiitiin,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",banshee,????,Ekeraa,????,,,,,,,,,,,,,,,,,,,,,
