hate_category_1,hate_category_2,explanation,english,Amharic,afaan_oromo,Tigregna,otherspellings
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a good wife…"" on social media. Many survey responses reproduce commands and tropes that confine women to domestic spaces or “appropriate” roles. This normalises control, discipline, and even violence as acceptable behaviour. ",a good wife,መልካም ሚስት,,,
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a good wife…"" on social media. Many survey responses reproduce commands and tropes that confine women to domestic spaces or “appropriate” roles. This normalises control, discipline, and even violence as acceptable behaviour. ",a good wife keeps her husband happy,ጥሩ ሴት የባልዋ ደስታ ምንጭ ናት,,,
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a good wife…"" on social media. Many survey responses reproduce commands and tropes that confine women to domestic spaces or “appropriate” roles. This normalises control, discipline, and even violence as acceptable behaviour. ",a good wife knows her place,መልካም ሚስት ቦታዋን ታውቃለች,,,
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a good wife…"" on social media. Many survey responses reproduce commands and tropes that confine women to domestic spaces or “appropriate” roles. This normalises control, discipline, and even violence as acceptable behaviour. ",a good wife wouldn’t post this,ጥሩ ሴት የባልዋ ደስታ ምንጭ ናት,,,
Gender,,"According to CIR & TikTok workshop participants, it's common to see phrases like ""a man deserves thanks"", one social media. This is used misogynistically to imply that a woman is a burden and that any man who marries her is doing her and society a favour. The phrase frames marriage as a one-sided transaction in which men provide value and women offer little in return, reinforcing the idea that women should be grateful and subordinate within relationships.",a man who marries her deserves thanks,እቺን ያገባ ሊመሰገን ይገባዋል,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",A person that marries you is unlucky,ያገባሽ ፈረደበት,Isa si fuudhetti rabbituvitti fuudhe,ዘዕተወኪ ሰብ እድለኛ አይኾነን,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",adulterous,አመንዝራ,Sagaagaltuu,ዘማዊ ,
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",axwound,እምስ,Xeerii,ምጥሪ,axewound
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",,,Koshoo,,
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",,,kushee,,
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",,,Muxxee,,
Gender,,"According to CIR workshop participants, theses are derogatory terms for a woman's vagina.",,,Buqushaa,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",babe,ቤብ,Ishii,,
Gender,,,,,Intalattii,,
Gender,,,,,Niitittii,,
Gender,,,,,ija tuffiitiin,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",banshee,ጠንቋይ,Ekeraa,ጠንቋሊ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",magician,አስማተኛ,Gaadidduu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",witch,,Farristuu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",,,Farroo,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",barren,በቅሎ,Gaangee,በቕሊ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",,መካን,,መኻን,
Gender,,"Misogynistic, derogatory, and harmful terms.",bastard,ዲቃላ,Diqaalaa,ድቓላ,dikala
Gender,,,daughter of a bitch,,,,
Gender,,,son of a bitch,,ilmoo baarandaa,,
Gender,,"According to CIR & TikTok workshop participants, there is a saying that all Ethiopian women named Betelhem (Bety) are sluts and all Natnael (Naty's)  are womanisers.",Betelhem,,,,
Gender,,,Beti,,,,
Gender,,,Betty,,,,
Gender,,,Bety,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",bimbo,መልክ በቃ,Jabbii,ሃላይ,
Gender,,,,,hemmee,,
Gender,,"According to CIR workshop participants, this term is often used in a misogynistic fashion.",bird,ወፍ,Simbirroo,ዒፍ,
Gender,,,,,Simbira,,
Gender,,"Misogynistic, derogatory, and harmful terms.",bitch,ሸርሙጣ,Sharmuuxaa,ሻርሙጣ,
Gender,,"Misogynistic, derogatory, and harmful terms.",b1tch,ቢች,shallee,ከልቢ,
Gender,,"Misogynistic, derogatory, and harmful terms.",,ውሻ,Biichii,ዓጣሪት,
Gender,,"Misogynistic, derogatory, and harmful terms.",,ጋለሞታ,Gaalamoota,,
Gender,,"Misogynistic, derogatory, and harmful terms.",,,ejjituu,,
Gender,,"Misogynistic, derogatory, and harmful terms.",,,sagagaltuu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",bolshy,ጨቅጫቃ,Of-nyaattuu,ጻሕጋር,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Alaanaltuu,,
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",Her milk house,የወተት ቤቷ,Harma Guddaa,ጡብ,
